2019-12-06 06:35:34,b'Dear sir\n\nRail madad says amount refunded and nothing such has been reflected in my bank.\n\nSince 2 days passed no p\xe2\x80\xa6 https://t.co/ViDYT7aPLN'
2019-12-06 06:25:44,b'@EasternRailway @subhomoysamanta @RailwaySeva MATTER FORWARDED TO @drmdhnecr &amp; @irctceastzone @IRCTCofficial'
2019-12-06 06:25:07,b'@IRCTCofficial @drm_raipur @DRMBilaspur sir train no.13287 showing not available When i want to make a reservation\xe2\x80\xa6 https://t.co/xA3Mwv1aZ5'
2019-12-06 06:23:07,b'@RailwaySeva @IRCTCofficial @PiyushGoyal\nHi I have booked ticket in train no 09005 special train between Mumbai to\xe2\x80\xa6 https://t.co/MZaUX1XHTk'
2019-12-06 06:21:42,b'@RailwaySeva @PiyushGoyalOffc \nThe @IRCTCofficial food vendor refused to provide me the standard veg meal of Rs. 50\xe2\x80\xa6 https://t.co/LZgs6sSGjh'
2019-12-06 06:21:40,b'@ckabhimanyu92 @RailMinIndia @PiyushGoyal @IRCTCofficial Sir matter forwarded to @GM_ECRly'
2019-12-06 06:20:30,b'RT @IRCTCofficial: #Download the @irctc_imudra app &amp; use it anytime and anywhere for all your needs. Accepted across #online &amp; #offline pla\xe2\x80\xa6'
2019-12-06 06:20:15,"b""RT @IRCTCofficial: Visit the 'Land of Happiness' with #IRCTC's 'Adbhut Bhutan' package. Enjoy the stunning #landscapes of #Thimpu, #Paro &amp;\xe2\x80\xa6"""
2019-12-06 06:19:51,b'Proud shareholder of #IRCTC https://t.co/GSPsJP5p9P'
2019-12-06 06:19:45,"b'@khan_shamik @BhusavalDivn @PiyushGoyal @RailwaySeva @IRCTCofficial 17642 will reach kcg at 20.15hs., adviced parce\xe2\x80\xa6 https://t.co/1JGCo4TsMy'"
2019-12-06 06:12:38,b'@BhusavalDivn @PiyushGoyal @RailwaySeva @IRCTCofficial @drmhyb Thanks sir!'
2019-12-06 06:05:23,"b""@IRCTCofficial \n i was unable to open my IRCTC account, didn't received OTP after trying for 3 time now it is showi\xe2\x80\xa6 https://t.co/BBARL0duRi"""
2019-12-06 06:03:05,"b""I don't know what kind of application is this?@IRCTCofficial login isn't working,payment isn't working , whether us\xe2\x80\xa6 https://t.co/mwhVvtXiDX"""
2019-12-06 05:59:51,b'RT @RohitNilima: @irctcnorthzone @IRCTCofficial @IndianRailUsers @indianrail Behavior of compartment staff was gentle and he extremely apol\xe2\x80\xa6'
2019-12-06 05:56:12,b'@IRCTCofficial \nNilgiri Express (12671)\nToday booked tatkal ticket (Transaction ID: 100002176560063)payment got deb\xe2\x80\xa6 https://t.co/uhhg1j7PJC'
2019-12-06 05:53:14,"b""@RailMinIndia and @IRCTCofficial are openly looting it's customers in the name of CANCELATION CHARGES. I don't unde\xe2\x80\xa6 https://t.co/Z54k6UAICd"""
2019-12-06 05:52:24,b'@IRCTCofficial OTP based verification  facility during payment of ticket via irctc wallet take much longer time tha\xe2\x80\xa6 https://t.co/6TO7svuUVn'
2019-12-06 05:51:45,b'@IRCTCofficial  why my transaction always failed?? Its so frustrating.. my money is deducted from my account but my\xe2\x80\xa6 https://t.co/poH8RZejpN'
2019-12-06 05:45:28,b'@PiyushGoyal @IRCTCofficial @RailMinIndia \nTotal of 3000 paid as bribe by my brother in law because two kids were t\xe2\x80\xa6 https://t.co/sS8KwIGRWQ'
2019-12-06 05:42:10,b'It appears that @IRCTCofficial website is not functioning properly.'
2019-12-06 05:40:11,b'@IRCTCofficial @IrctcPro @PMOIndia \n\nThis is big issue in IRCTC site.. Agent log aram se book kar lete hai or aam a\xe2\x80\xa6 https://t.co/kFK7RMp6MR'
2019-12-06 05:39:58,b'While booking a ticket my ticket was not been booked but my payment has been deducted from my account.request that\xe2\x80\xa6 https://t.co/wzu64rR8QZ'
2019-12-06 05:36:12,b'@RailwaySeva @PiyushGoyalOffc Kindly look into this.\n@RailwaySeva @PiyushGoyalOffc @IRCTCofficial @RailMinIndia'
2019-12-06 05:31:52,b'@RailMinIndia @IRCTCofficial @Central_Railway still waiting for refund'
2019-12-06 05:31:28,b'RT @VIJAYAGNIHOTRI: @RailMinIndia @IRCTCofficial @Central_Railway \ndear sir \nmy pnr 2630690040 \ntrain was late more then 7 hrs.  \ni book an\xe2\x80\xa6'
2019-12-06 05:25:35,b'Dear @PiyushGoyal @PiyushGoyalOffc @IRCTCofficial I have booked 2 tickets. It is still in WL status. If tickets are\xe2\x80\xa6 https://t.co/eOUoONnutm'
2019-12-06 05:22:08,b'@ViceBhopal @IRCTCofficial @eCateringIRCTC @irctcwestzone @RailwaySeva @PiyushGoyalOffc Matter forwarded to\xe2\x80\xa6 https://t.co/1YYaBh08Vy'
2019-12-06 05:22:02,b'my brother booked ticket but due to some reason he cant travel and behalf of him i want travel on that ticket and w\xe2\x80\xa6 https://t.co/4ebHXQOBlW'
2019-12-06 05:20:55,b'Dear @IRCTCofficial @eCateringIRCTC @irctcwestzone Traveling against PNR 8427868597. Veg JAIN Food Required.Kindly\xe2\x80\xa6 https://t.co/blRX3wgQMo'
2019-12-06 05:19:51,b'RT @Jainashish_vns: @RailMinIndia @Indianrailway18 @indianrailway__ @drmbsbner @nerailwaygkp @IRCTCofficial @RailwaySeva @drmlko25 @drmmgs\xe2\x80\xa6'
2019-12-06 05:19:32,b'RT @Jainashish_vns: @RailMinIndia @Indianrailway18 @indianrailway__ @drmbsbner @nerailwaygkp @IRCTCofficial @RailwaySeva @drmlko25 @drmmgs\xe2\x80\xa6'
2019-12-06 05:10:58,b'Dear @IRCTCofficial and @RailwaySeva what is this ? Every time I book a ticket and make payment through Google pay\xe2\x80\xa6 https://t.co/c2OKVV4DWw'
2019-12-06 05:09:29,b'@IRCTCofficial \nFacility in humsafar 15705 is totally bogus..and charging like fancy pricing...its totally radiculo\xe2\x80\xa6 https://t.co/Vxwvjtuui1'
2019-12-06 05:08:55,b'@IRCTCofficial @RailMinIndia @AmitShah  train is good food is excellent bhot badiya thanks Modi ji PNR no2631900067\xe2\x80\xa6 https://t.co/CNZcfwpxOE'
2019-12-06 04:59:52,b'@IRCTCofficial @amazonIN @amazonpay @amazon reply p'
2019-12-06 04:54:54,"b'@khan_shamik @PiyushGoyal @RailwaySeva @IRCTCofficial Sir, your bike booked ex AK to YPR , loaded in R/SLR of 17642\xe2\x80\xa6 https://t.co/b8y0Vfsym1'"
2019-12-06 04:49:56,b'@BhopalDivision @Deepesh89906523 @PiyushGoyal @IRCTCofficial @bansalhabibganj Tweet is no more exist https://t.co/bXGLBkTiU1'
2019-12-06 04:44:12,"b'Train 13238, running late by 3 hours,   a common train is running so late , why, no proper arrangements @PiyushGoyal @IRCTCofficial'"
2019-12-06 04:40:36,"b""@IRCTCofficial  what's use of the app if we are unable to book tatkal ticket!!.... It's very slow and post all tick\xe2\x80\xa6 https://t.co/as1vnHSxwV"""
2019-12-06 04:39:20,b'@khan_shamik @PiyushGoyal @RailwaySeva @IRCTCofficial Your matter noted and forwarded to the concerned Officials for necessary action.'
2019-12-06 04:36:10,"b'@IRCTCofficial @RailMinIndia @RailwaySeva East @Central_Railway sir,between Athmalgola &amp; bakhtiyarpur,The Wire conn\xe2\x80\xa6 https://t.co/tRTRjZoBh7'"
2019-12-06 04:30:38,"b'@IRCTCofficial  My E-ticket status is 1st Passenger CNF and other two are RLWL/1,2 Can I board the train which is tomorrow?@irctcwestzone'"
